Continente,Nacion,Capital,Region
Europa,Albania,Tirana,Europa meridional
Europa,Alemania,Berlín,Europa occidental
Europa,Andorra,Andorra la Vieja,Europa meridional
Europa,Austria,Viena,Europa occidental
Europa,Azerbaiyán,Bakú,Europa central-oriental
Europa,Bélgica,Bruselas,Europa occidental
Europa,Bielorrusia,Minsk,Europa central-oriental
Europa,Bosnia-Herzegovina,Sarajevo,Europa meridional
Europa,Bulgaria,Sofía,Europa central-oriental
Europa,Chipre,Nicosia,Europa mediterráneo oriental
Europa,Ciudad del Vaticano,Ciudad del Vaticano,Europa meridional
Europa,Croacia,Zagreb,Europa meridional
Europa,Dinamarca,Copenhague,Europa del norte
Europa,Eslovaquia,Bratislava,Europa central-oriental
Europa,Eslovenia,Liubliana,Europa meridional
Europa,España,Madrid,Europa meridional
Europa,Estonia,Tallin,Europa central-oriental
Europa,Finlandia,Helsinki,Europa del norte
Europa,Francia,París,Europa occidental
Europa,Georgia,Tiflis,Europa central-oriental
Europa,Grecia,Atenas,Europa meridional
Europa,Hungría,Budapest,Europa central-oriental
Europa,Irlanda,Dublín,Europa del norte
Europa,Islandia,Reikiavik,Europa del norte
Europa,Italia,Roma,Europa meridional
Europa,Kosovo,Pristina,Europa meridional
Europa,Letonia,Riga,Europa central-oriental
Europa,Liechtenstein,Vaduz,Europa occidental
Europa,Lituania,Vilna,Europa central-oriental
Europa,Luxemburgo,Luxemburgo,Europa occidental
Europa,República de Macedonia,Skopie,Europa meridional
Europa,Malta,La Valeta,Europa meridional
Europa,Moldavia,Chisinau,Europa central-oriental
Europa,Mónaco,Mónaco,Europa occidental
Europa,Montenegro,Podgorica,Europa meridional
Europa,Noruega,Oslo,Europa del norte
Europa,Países Bajos,Ámsterdam,Europa occidental
Europa,Polonia,Varsovia,Europa central-oriental
Europa,Portugal,Lisboa,Europa meridional
Europa,Reino Unido,Londres,Europa del norte
Europa,República Checa,Praga,Europa central-oriental
Europa,Rumanía,Bucarest,Europa central-oriental
Europa,Rusia,Moscú,Europa central-oriental
Europa,San Marino,San Marino,Europa meridional
Europa,Serbia,Belgrado,Europa meridional
Europa,Suecia,Estocolmo,Europa del norte
Europa,Suiza,Berna,Europa occidental
Europa,Turquía,Ankara,Europa mediterráneo oriental
Europa,Ucrania,Kiev ,Europa central-oriental
Asia,Afganistán,Kabul ,Asia meridional
Asia,Arabia Saudí,Riad ,Asia meridional
Asia,Armenia,Ereván ,Asia meridional
Asia,Baréin,Manama ,Asia meridional
Asia,Bangladés,Daca ,Asia meridional
Asia,Bután,Timbu ,Asia meridional
Asia,Brunéi,Bandar Seri Begawan ,Asia del sudeste
Asia,Camboya,Phnom Penh ,Asia del sudeste
Asia,Catar,Doha ,Asia meridional
Asia,China,Pekín ,Asia del nordeste
Asia,Corea del Norte,Pionyang ,Asia del nordeste
Asia,Corea del Sur,Seúl ,Asia del nordeste
Asia,Emiratos Árabes Unidos,Abu Dabi ,Asia meridional
Asia,Filipinas,Manila ,Asia del sudeste
Asia,India,Nueva Delhi ,Asia meridional
Asia,Indonesia,Yakarta ,Asia del sudeste
Asia,Irak,Bagdad ,Asia meridional
Asia,Irán,Teherán ,Asia meridional
Asia,Israel,Jerusalén ,Asia meridional
Asia,Japón,Tokio ,Asia del nordeste
Asia,Jordania,Amán ,Asia meridional
Asia,Kazajistán,Astaná ,Asia meridional
Asia,Kirguistán,Biskek ,Asia meridional
Asia,Kuwait,Kuwait ,Asia meridional
Asia,Laos,Vientián ,Asia del sudeste
Asia,Líbano,Beirut ,Asia meridional
Asia,Malasia,Kuala Lumpur ,Asia del sudeste
Asia,Maldivas,Malé ,Asia meridional
Asia,Mongolia,Ulán Bator ,Asia del nordeste
Asia,Myanmar,Naipyidó ,Asia del sudeste
